iter	MultiClass
0	1.345823573
1	1.309407685
2	1.273484389
3	1.239864375
4	1.210042773
5	1.181709634
6	1.156273563
7	1.131570839
8	1.104586758
9	1.080994775
10	1.055982289
11	1.035419463
12	1.014265638
13	0.9943444223
14	0.9755289812
15	0.9556128225
16	0.9398660809
17	0.9229609152
18	0.9078670735
19	0.8920632407
20	0.8783399292
21	0.8654346866
22	0.8511611845
23	0.8363820843
24	0.8242431696
25	0.8113710874
26	0.8004822773
27	0.7870468392
28	0.7773946978
29	0.7667636404
30	0.7560822274
31	0.7464079284
32	0.7356979507
33	0.7241441862
34	0.7148837795
35	0.7057278108
36	0.6969678786
37	0.6868784666
38	0.6787561974
39	0.6709234715
40	0.6631196969
41	0.655291908
42	0.6486887915
43	0.640204034
44	0.631773057
45	0.6253521048
46	0.6195449478
47	0.6122938999
48	0.6053381743
49	0.5993451799
50	0.5919785202
51	0.584682997
52	0.5778981102
53	0.5707115584
54	0.5649252049
55	0.5575221938
56	0.5498232184
57	0.5438876883
58	0.5387346512
59	0.5335004479
60	0.5271655801
61	0.5209565134
62	0.5161232258
63	0.5106806261
64	0.5053373347
65	0.5011449789
66	0.4959486261
67	0.4904658091
68	0.4854528671
69	0.4802748692
70	0.4744066253
71	0.4695118532
72	0.4647612417
73	0.4612109287
74	0.4562613949
75	0.4512178173
76	0.4465637818
77	0.4427585954
78	0.4385909251
79	0.434885198
80	0.4308147526
81	0.4276692941
82	0.4243039615
83	0.4208240316
84	0.4167535414
85	0.4126873903
86	0.4080937551
87	0.4042363178
88	0.4005914218
89	0.3962062751
90	0.3929763023
91	0.3898853164
92	0.3865787161
93	0.3834807279
94	0.3800564601
95	0.3771778292
96	0.3726774182
97	0.3701100289
98	0.3662665532
99	0.3629599232
100	0.360287774
101	0.3574721634
102	0.3548581064
103	0.3516163337
104	0.3481972638
105	0.3450155262
106	0.3421990241
107	0.3390245034
108	0.3371402908
109	0.3339936661
110	0.3321194163
111	0.3290925401
112	0.3261635085
113	0.3236361771
114	0.3209643809
115	0.3182503189
116	0.3158601913
117	0.3131111631
118	0.3118058268
119	0.3092303323
120	0.305921423
121	0.3031134415
122	0.3007898195
123	0.2981151748
124	0.2954451291
125	0.2929810513
126	0.2907788736
127	0.2886353109
128	0.2864103776
129	0.2840337037
130	0.2813603804
131	0.2783552239
132	0.2764210857
133	0.2736019728
134	0.271998225
135	0.2696424575
136	0.2682252477
137	0.26608735
138	0.264276726
139	0.2619126461
140	0.2602442622
141	0.2589411359
142	0.2564242478
143	0.253659265
144	0.252078268
145	0.2503132877
146	0.2485301467
147	0.2462387347
148	0.2438394694
149	0.2420573784
150	0.2400900056
151	0.2383890959
152	0.2363211866
153	0.2345752522
154	0.2329432958
155	0.2315115697
156	0.2297010764
157	0.2276679379
158	0.2258161079
159	0.2239335436
160	0.2221886367
161	0.2206083787
162	0.219614327
163	0.2178907405
164	0.216206585
165	0.2147011352
166	0.213525794
167	0.2116884968
168	0.2104447286
169	0.2090860629
170	0.2074306272
171	0.2058304295
172	0.2041618863
173	0.2029592812
174	0.2012968132
175	0.1997079112
176	0.1980636686
177	0.1961758386
178	0.1947042303
179	0.1930964236
180	0.1913789152
181	0.1900930423
182	0.1887364045
183	0.1872095791
184	0.1859033732
185	0.1846826583
186	0.1831122215
187	0.1816851597
188	0.1803887719
189	0.179054017
190	0.1775663666
191	0.1761073574
192	0.1746968084
193	0.1735982051
194	0.1725450806
195	0.171700156
196	0.1703238764
197	0.1692678236
198	0.1681476092
199	0.167251444
200	0.1662537999
201	0.1652467177
202	0.1642391612
203	0.1631749618
204	0.1620011628
205	0.161057964
206	0.1597281585
207	0.1587286074
208	0.1577702
209	0.1566368587
210	0.1553820886
211	0.1545598321
212	0.1536913857
213	0.1527773537
214	0.1520033778
215	0.1507918475
216	0.1500516717
217	0.1489510847
218	0.1482625119
219	0.1471770218
220	0.1463014367
221	0.1452951102
222	0.144600878
223	0.1438472852
224	0.1429327526
225	0.1420976472
226	0.1409550306
227	0.1398860412
228	0.139020639
229	0.138538343
230	0.1377982821
231	0.1369717659
